50,1000.21,1000.33
100,1001.26,1007.14
150,1003.66,1013.19
200,1007.93,1017.86
250,1010.02,1023.08
300,1011.88,1027.75
350,1013.65,1030.65
400,1015.47,1032.88
450,1017.22,1035.48
500,1019.01,1037.67
550,1020.35,1039.13
600,1021.84,1041.21
650,1024.43,1042.67
700,1027.39,1045
750,1030.47,1046.53
800,1032.96,1046.65
850,1034.86,1047.78
900,1036.4,1051.21
950,1037.59,1052.75
1000,1038.79,1053.2
1050,1039.83,1057.53
1100,1040.76,1059.19
1150,1041.4,1059.71
1200,1042.2,1062.91
1250,1042.78,1067.31
1300,1043.07,1066.52
1350,1043.79,1066.31
1400,1044.67,1058.69
1450,1044.99,1048.43
1500,1045.24,1045.94
1550,1045.49,1044.37
1600,1045.99,1042.43
1650,1045.8,1044.67
1700,1046.05,1043.7
1750,1045.16,1043.32
1800,1044.76,1041.29
1850,1044.28,1037.6
1900,1043,1039.77
1950,1042.31,1039.76
2000,1042.52,1036.4
2050,1043.16,1033.03
2100,1042.25,1029.35
2150,1040.6,1028.06
2200,1039.51,1024.46
2250,1038.88,1023.35
2300,1038.01,1022.9
2350,1037.67,1022.43
2400,1037.01,1020.08
2450,1036.6,1020.33
2500,1036.27,1025.62
2550,1036.01,1029.3
2600,1035.76,1033.7
2650,1035.6,1034.9
2700,1036.07,1039.93
2750,1036.63,1037.39
2800,1037.18,1040.33
2850,1037.79,1039.1
2900,1038.84,1039.21
2950,1039.2,1036.96
3000,1039.87,1035.36
3050,1040.69,1034.65
3100,1040.81,1038.12
3150,1040.58,1033.14
3200,1040.34,1034.04
3250,1038.66,1032.33
3300,1037.6,1028.45
3350,1037.16,1026.78
3400,1037.78,1026.22
3450,1036.27,1022.42
3500,1035.75,1024.53
3550,1035.11,1020.68
3600,1035.05,1019.73
3650,1035.48,1014.14
3700,1034.96,1014.7
3750,1035.16,1014.89
3800,1034.25,1013.23
3850,1033.61,1016.23
3900,1032.39,1015.36
3950,1032.06,1017.24
4000,1031.69,1010.93
4050,1030.64,1010.34
4100,1030.71,1009.98
4150,1030.39,1008.47
4200,1031.32,1006.98
4250,1031.12,1006.86
4300,1031.39,1007.07
4350,1030.88,1004.22
4400,1030.4,1003.99
4450,1030.46,1005.37
4500,1030.95,1006.36
4550,1030.5,1003.9
4600,1030.36,1005.07
4650,1030.07,1003.94
4700,1030.25,1003.57
4750,1029.85,1000.53
4800,1029.51,1000.68
4850,1029.74,999.769
4900,1029.58,1001.46
4950,1028.47,1001.49
5000,1028.68,1003.57
5050,1027.74,999.773
5100,1027.24,1001.92
5150,1026.76,999.557
5200,1026.28,998.435
5250,1025.54,998.931
5300,1025.5,999.832
5350,1024.9,1000.04
5400,1024.65,1003.04
5450,1025.27,1005.03
5500,1025.2,1004.75
5550,1024.74,1002.74
5600,1025.51,1001.42
5650,1025.04,999.636
5700,1025.35,1002.15
5750,1025.03,997.76
5800,1024.84,999.557
5850,1024.54,997.133
5900,1024.03,996.203
5950,1023.72,997.019
6000,1023.34,997.717
6050,1022.85,993.474
6100,1023.28,994.637
6150,1022.02,993.455
6200,1021.49,995.639
6250,1022.24,997.954
6300,1023.69,998.243
6350,1024.22,1000.73
6400,1023.53,1000
6450,1022.72,995.854
6500,1022.34,995.495
6550,1021.53,995.038
6600,1021.42,999.795
6650,1021.52,1001
6700,1022.07,1006.37
6750,1022.6,1008.02
6800,1022.22,1006
6850,1022.15,1007.43
6900,1021.53,1004.82
6950,1021.11,1007.3
7000,1020.89,1009.22
7050,1020.56,1004.55
7100,1020.09,1001.64
7150,1019.86,1001.69
7200,1020.62,1003.55
7250,1021.67,1009.03
7300,1022.22,1011.66
7350,1022.8,1008.68
7400,1022.62,1004.67
7450,1021.71,1005.38
7500,1020.73,1002.65
7550,1020.34,1000.99
7600,1020.85,1005.14
7650,1021.15,1006.04
7700,1021.45,1005.92
7750,1021.55,1005.27
7800,1021.24,1004.95
7850,1020.75,1007.95
7900,1020.56,1013.12
7950,1021.03,1012.6
8000,1021.51,1010.35
8050,1021.29,1008.81
8100,1021.46,1009.91
8150,1022.18,1010.74
8200,1022.36,1011.9
8250,1022.64,1012.05
8300,1022.69,1007.83
8350,1022.5,1005.56
8400,1022.38,1004.11
8450,1022.59,1002.71
8500,1022.39,1006.87
8550,1022.86,1007.69
8600,1023.18,1009.72
8650,1024.77,1013.79
8700,1025.74,1016.84
8750,1026.7,1020.94
8800,1028.47,1025.16
8850,1029.62,1028.01
8900,1030.61,1031.53
8950,1031.47,1030.16
9000,1032.53,1029.01
9050,1032.57,1026.53
9100,1032.32,1029.61
9150,1032.51,1030.36
9200,1032.68,1029.44
9250,1033.57,1032.7
9300,1033.62,1032.05
9350,1033.8,1028.63
9400,1035.16,1028.61
9450,1037.43,1032.93
9500,1038.33,1039.88
9550,1040.46,1045.12
9600,1041.85,1043.57
9650,1042.84,1045.53
9700,1044.78,1048.93
9750,1045.13,1049.15
9800,1045.34,1050.09
9850,1045.27,1048.32
9900,1042.96,1050.72
9950,1040.61,1043.04
10000,1038.44,1039.59
10050,1035.28,1033.32
10100,1032.26,1029.93
