50,1000.45,997.426
100,1002.56,998.316
150,1005.95,1000.64
200,1008.35,1003.55
250,1010.49,1007.59
300,1013.44,1013.22
350,1017.24,1019.01
400,1020.63,1025.81
450,1022.57,1030.6
500,1023.26,1032.22
550,1023.08,1029.95
600,1022.1,1028.87
650,1020.52,1021.48
700,1018.43,1020.28
750,1016.17,1017.26
800,1013.88,1014.37
850,1011.89,1013.15
900,1010.42,1011.69
950,1009.45,1009.46
1000,1009.33,1006.62
1050,1011.79,1010.59
1100,1013.25,1011.56
1150,1015.82,1011.97
1200,1018.55,1013.63
1250,1021.25,1012.4
1300,1024.41,1019.59
1350,1027.12,1026.69
1400,1029.26,1037.81
1450,1030.39,1041.22
1500,1030.83,1045.09
1550,1030.1,1033.12
1600,1028.92,1038.82
1650,1026.85,1035.03
1700,1024.63,1032.64
1750,1021.6,1026.44
1800,1018.75,1021.56
1850,1015.88,1014.46
1900,1015.16,1009.3
1950,1014,1008.11
2000,1014.99,999.524
2050,1015.25,997.613
2100,1015.88,998.372
2150,1018.01,1003.74
2200,1021.1,1010.33
2250,1023.34,1012.48
2300,1025.9,1022.86
2350,1027.27,1027.33
2400,1028.86,1037.56
2450,1028.85,1040.33
2500,1028.6,1038.5
2550,1026.35,1039.07
2600,1023.65,1033.21
2650,1020.77,1022.12
2700,1018.16,1015.39
2750,1016.21,1009.65
2800,1013.38,1000.82
2850,1013.65,1002.18
2900,1014.7,998.942
2950,1015.02,999.604
3000,1015.37,1003.28
3050,1017.02,1004.27
3100,1019.98,1058.45
3150,1021.9,1026.34
3200,1024.19,1029.87
3250,1024.64,1027.35
3300,1025.25,1052.72
3350,1024.17,1055.16
3400,1021.7,1026.54
3450,1018.67,984.738
3500,1015.95,965.655
3550,1013.69,995.09
3600,1012.93,983.939
3650,1013.61,988.677
3700,1014.23,995.432
3750,1015.27,1013.66
3800,1017.01,992.985
3850,1018.98,985.489
3900,1020.96,998.33
3950,1021.74,976.983
4000,1021.8,1003.87
4050,1021.45,1021.24
4100,1018.9,1030.62
4150,1016.72,980.009
4200,1015.09,994.934
4250,1013.82,962.585
4300,1014.74,981.08
4350,1015.29,984.62
4400,1016.26,910.269
4450,1017.48,976.261
4500,1017.34,945.163
4550,1017.58,1011.14
4600,1017.62,928.851
4650,1017.38,1029.56
4700,1017.92,1020.14
4750,1017.76,1001.4
4800,1017.94,974.36
4850,1017.66,937.983
4900,1017.61,952.284
4950,1017.03,925.831
5000,1015.67,1000.1
5050,1015.99,971.474
5100,1016.31,954.216
5150,1016.26,973.683
5200,1015.61,979.94
5250,1016.13,1008.94
5300,1016.04,1009.72
5350,1015.86,999.388
5400,1014.86,1001.24
5450,1014.83,1001.45
5500,1013.63,998.697
5550,1013.39,1006.03
5600,1014.67,1005.72
5650,1015.41,997.074
5700,1016.5,1008.49
5750,1017.68,1014.92
5800,1018.92,1007.72
5850,1018.69,1009.4
5900,1018.33,1002.81
5950,1017.72,1014.67
6000,1017.43,1007.11
6050,1018.01,1011.48
6100,1018.88,1000.27
6150,1018.55,997.627
6200,1019.65,1003.24
6250,1020.37,1006.15
6300,1020.72,1017.75
6350,1020.97,1016.1
6400,1021.36,977.167
6450,1021.8,953.819
6500,1022.47,956.41
6550,1022.65,929.42
6600,1022.49,1015.34
6650,1022.73,1038.14
6700,1023.47,989.985
6750,1023.93,1016.63
6800,1025.11,997.828
6850,1025.18,955.239
6900,1025.98,973.6
6950,1025.97,986.249
7000,1025.43,1010.53
7050,1025.46,1010.92
7100,1025.73,1002.72
7150,1025.68,1025.98
7200,1025.71,998.588
7250,1024.18,1015.13
7300,1023.11,965.899
7350,1022.39,957.015
7400,1021.73,986.356
7450,1020.42,996.422
7500,1020.19,985.252
7550,1019.39,989.208
7600,1019.73,989.523
7650,1019.89,1113.05
7700,1019.76,961.628
7750,1020.07,1045.22
7800,1020.69,1076.78
7850,1021.31,1004.31
7900,1022,975.651
7950,1022.36,1001.33
8000,1024.22,1120.25
8050,1022.2,938.518
8100,1021.55,1052.48
8150,1021.21,992.275
8200,1020.84,1031.7
8250,1021.79,1012.07
8300,1020.34,1009.48
8350,1021.53,982.312
8400,1020.34,1005.16
8450,1022.06,910.44
8500,1023.19,1052.88
8550,1024.31,980.432
8600,1025.95,988.616
8650,1026.37,1021.94
8700,1025.06,947.924
8750,1024.06,965.114
8800,1021.61,929.191
8850,1019.35,979.648
8900,1017.32,955.747
8950,1015.73,945.103
9000,1015.33,953.303
9050,1016.04,957.722
9100,1016.58,959.409
9150,1017.31,955.859
9200,1017.24,980.364
9250,1019.47,960.143
9300,1020.21,1003.57
9350,1022.27,1006.2
9400,1022.21,960.551
9450,1021.59,967.409
9500,1021.42,992.997
9550,1019.56,1005.75
9600,1017.79,980.45
9650,1016.96,987.51
9700,1016.35,978.328
9750,1016.62,984.097
9800,1016.2,1000.8
9850,1016.24,965.923
9900,1017.64,984.196
9950,1017.12,967.391
10000,1017.44,982.394
10050,1016.76,966.269
10100,1015.62,981.226
10150,1014.83,976.275
10200,1013.93,995.885
10250,1013.63,972.532
10300,1013.88,977.643
10350,1014.9,966.692
10400,1015.68,957.854
10450,1016.87,968.557
10500,1018.02,981.889
10550,1018.91,994.044
10600,1019.29,990.872
10650,1018.97,991.843
10700,1018.55,1000.62
