50,0.460479,0.238676,4926
100,0.857525,0.43647,8214
150,1.20503,0.626451,8628
200,1.51203,0.823927,6186
250,1.78817,1.01312,3364
300,2.04265,1.17547,728
350,2.2867,1.36521,428
400,2.52939,1.59835,408
450,2.77369,1.81356,402
500,3.01279,2.03805,408
550,3.24512,2.20505,406
600,3.46675,2.4188,412
650,3.68002,2.56768,420
700,3.89643,2.82882,410
750,4.12303,3.12495,448
800,4.34747,3.28848,562
850,4.5882,3.4549,552
900,4.83891,3.54567,442
950,5.08551,3.62429,536
1000,5.32239,3.86854,944
1050,5.54144,4.06939,3420
1100,5.7374,4.12746,3136
1150,5.905,4.31115,2328
1200,6.0223,4.20378,1624
1250,6.1023,3.80404,1020
1300,6.15136,3.49456,504
1350,6.16643,3.35867,608
1400,6.13471,3.24711,575
1450,6.07124,3.06108,689
1500,5.97988,2.86087,726
1550,5.86725,2.64272,647
1600,5.74911,2.53086,689
1650,5.63289,2.35844,771
1700,5.52076,2.1512,863
1750,5.43058,1.97006,1032
1800,5.36268,1.78218,1201
1850,5.2946,1.55635,1902
1900,5.24179,1.42617,2515
1950,5.21773,1.36781,2869
2000,5.21099,1.22896,2204
2050,5.21294,1.1842,1827
2100,5.2174,1.15193,1661
2150,5.21931,1.15989,1676
2200,5.20895,1.13447,1795
2250,5.18338,1.25302,1692
2300,5.13953,1.32504,1488
2350,5.07564,1.20815,1388
2400,5.02162,1.12626,1361
2450,4.97204,1.12231,1417
2500,4.91765,1.05737,1365
2550,4.86313,1.27874,1368
2600,4.80858,1.24776,1477
2650,4.75882,1.27843,1442
2700,4.6982,1.23791,1331
2750,4.63266,1.21856,1531
2800,4.57019,1.40637,1671
2850,4.51025,1.3791,1706
2900,4.45575,1.28883,2019
2950,4.41051,1.182,1881
3000,4.35622,1.23069,1681
3050,4.30636,1.19207,1615
3100,4.24997,1.11617,1520
3150,4.1749,1.05518,1535
3200,4.0878,1.0329,1498
3250,4.00307,0.904429,1474
3300,3.92326,0.979212,1382
3350,3.84892,1.00965,1497
3400,3.77605,0.85749,1730
3450,3.71113,0.825024,1665
3500,3.64261,0.820912,1597
3550,3.57186,0.884277,1839
3600,3.49311,0.689975,1756
3650,3.41781,0.668619,1762
3700,3.34546,0.700251,2026
3750,3.27679,0.792904,2225
3800,3.20551,0.66687,2159
3850,3.13627,0.749074,1957
3900,3.06088,0.621551,1995
3950,2.97389,0.640114,2033
4000,2.85986,0.674425,2161
4050,2.74926,0.718553,1936
4100,2.66413,0.697252,2147
4150,2.58317,0.758862,2319
4200,2.52454,0.726525,2160
4250,2.47739,0.701468,2328
4300,2.41305,0.627184,2747
4350,2.35863,0.495945,3006
4400,2.31923,0.644675,3245
4450,2.26992,0.617991,3406
4500,2.23393,0.386548,3251
4550,2.19505,0.554093,3174
4600,2.17388,0.547977,3225
4650,2.15476,0.508989,3233
4700,2.15181,0.659041,2858
4750,2.1638,0.604986,2517
4800,2.17896,0.570165,2422
4850,2.18354,0.430724,2579
4900,2.16749,0.396587,2439
4950,2.16817,0.631166,2236
5000,2.20021,0.959356,2229
5050,2.25883,0.956975,2239
5100,2.324,1.14911,2198
5150,2.37435,1.42523,2255
5200,2.42573,1.2444,2220
5250,2.46927,0.973093,2267
5300,2.54154,1.20356,2376
5350,2.61292,1.20649,2435
5400,2.68296,1.10372,2470
5450,2.76775,1.52739,2410
5500,2.8476,1.54557,2576
5550,2.91404,1.35889,2555
5600,2.98747,1.51655,2417
5650,3.07864,1.68503,2312
5700,3.14872,1.50415,2330
5750,3.22476,1.40881,2427
5800,3.26987,1.52832,2422
5850,3.36502,1.67212,2242
5900,3.45935,1.78985,2097
5950,3.539,1.55665,2005
6000,3.63509,1.70923,1952
6050,3.70167,1.58437,2054
6100,3.73341,1.7219,2070
6150,3.75221,1.55239,2149
6200,3.74208,1.39276,1879
6250,3.70286,1.41918,2123
6300,3.63635,1.34469,1887
6350,3.58912,1.29449,1996
6400,3.56496,1.32346,2365
6450,3.57337,1.29997,2512
6500,3.60024,1.28596,2612
6550,3.6164,1.28022,2337
6600,3.63211,1.393,2425
6650,3.66178,1.49935,2536
6700,3.68104,1.52093,2303
6750,3.71508,1.61596,2478
6800,3.74009,1.77098,2709
6850,3.74602,1.65056,3075
6900,3.73169,1.67255,2745
6950,3.71513,1.71911,2620
7000,3.70142,1.73764,2316
7050,3.69281,1.90416,2309
7100,3.66954,1.92953,2822
7150,3.61603,2.05592,2545
7200,3.53463,1.95088,2428
7250,3.4436,1.68551,2020
7300,3.29646,1.64863,1720
7350,3.1423,1.69338,1673
7400,2.97277,1.77603,1896
7450,2.79218,1.4895,2407
7500,2.6328,1.34812,2412
7550,2.51075,1.30327,2230
7600,2.36138,1.28899,2127
7650,2.26018,1.20155,2055
7700,2.14035,1.09734,2432
7750,2.06301,1.02294,2503
7800,1.98414,0.938417,3106
7850,1.88816,0.934014,3800
7900,1.79245,0.977882,4412
7950,1.67251,0.854258,4992
8000,1.58337,0.839352,5309
8050,1.52597,0.758401,4941
8100,1.47022,0.773508,4556
8150,1.43601,0.80151,4024
8200,1.39183,0.76092,3303
8250,1.33214,0.691599,2547
8300,1.27887,0.768724,2296
8350,1.22727,0.747294,2194
8400,1.15131,0.797536,1929
8450,1.05467,0.813729,1542
8500,0.962157,0.828989,1430
8550,0.917487,0.77258,1377
8600,0.958067,0.756109,1567
8650,1.04476,0.739757,1763
8700,1.10285,0.697663,1885
8750,1.12552,0.722444,2151
8800,1.13516,0.768918,2076
8850,1.1282,0.835443,2021
8900,1.11299,0.841003,2038
8950,1.12957,0.826892,2200
9000,1.17388,0.824799,2662
9050,1.25166,0.838214,2888
9100,1.34264,0.875477,2967
9150,1.41307,0.889783,2501
9200,1.47546,0.912924,2063
9250,1.55564,0.994345,1486
9300,1.63084,1.0563,1418
9350,1.70371,1.12438,1269
9400,1.76742,1.18836,1125
9450,1.83469,1.25485,1082
9500,1.91287,1.29605,1045
9550,2.00193,1.32247,1006
9600,2.08775,1.3429,989
9650,2.1535,1.31197,961
9700,2.20464,1.27993,944
9750,2.24078,1.25699,1238
9800,2.27556,1.22345,1414
9850,2.31012,1.22332,1384
9900,2.34923,1.19347,1348
9950,2.3943,1.24108,1441
10000,2.44182,1.30399,1221
10050,2.49061,1.33379,1105
10100,2.53413,1.35596,1089
10150,2.56742,1.38439,1283
10200,2.59176,1.43209,1036
10250,2.60761,1.42137,908
10300,2.62019,1.39403,785
10350,2.63614,1.36671,790
10400,2.66019,1.33241,735
10450,2.68746,1.31013,731
10500,2.71719,1.28129,833
10550,2.73345,1.26533,844
10600,2.73738,1.21006,877
10650,2.72861,1.22049,853
10700,2.71601,1.2204,973
10750,2.69854,1.23955,1176
10800,2.66574,1.23126,1273
10850,2.63336,1.22077,1330
10900,2.60018,1.18865,1322
10950,2.56122,1.17972,1219
11000,2.51773,1.17379,1150
11050,2.46947,1.13764,1324
11100,2.41585,1.14338,1266
11150,2.35696,1.08828,1441
11200,2.30401,1.06355,1151
11250,2.24264,1.04004,1130
11300,2.18231,1.01066,1096
11350,2.10877,0.931477,1109
11400,2.03508,0.856126,1022
11450,1.96272,0.765632,1124
11500,1.88813,0.675867,1269
11550,1.80412,0.615679,1301
11600,1.72132,0.559807,1214
11650,1.63331,0.498269,1435
11700,1.54137,0.438728,1727
11750,1.44979,0.404088,1612
11800,1.36884,0.388303,1458
11850,1.28911,0.360296,1300
11900,1.22326,0.398675,1258
11950,1.1457,0.360719,1189
12000,1.06762,0.323386,946
12050,0.98929,0.308907,908
12100,0.914487,0.310466,812
12150,0.813514,0.259718,792
12200,0.706533,0.277049,699
12250,0.614937,0.351696,742
